Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$8.40,-0.10,-1.176%,32245441.00,United States,,285,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$40.08,-0.32,-0.792%,150480280.00,United States,1988,27010,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$4.83,-0.05,-1.025%,518560875.00,United States,,224055,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.3999,-0.0071,-1.744%,4212068.00,United States,,120088,Health Care,Biotechnology: Pharmaceutical Preparations
AIRI,Air Industries Group Common Stock,$3.16,-0.09,-2.769%,11673340.00,United States,,17176,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.21,-0.10,-2.32%,233359673.00,,,14436,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.5954,0.0154,0.597%,7413438.00,China,,5209,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.71,-0.01,-0.368%,17479500.00,United States,1988,6248,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$0.472,-0.001,-0.211%,7888724.00,,2021,43673,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.26,-0.03,-0.699%,46320748.00,Canada,2000,14875,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$2.77,0.77,38.50%,131743837.00,United States,2022,983165,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$5.52,0.11,2.033%,948614191.00,,2023,1637794,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$1.18,0.03,2.609%,42696019.00,United States,,3311,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$2.04,0.08,4.082%,275613796.00,Canada,,4705696,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.538,-0.0516,-8.752%,645983.00,,2024,513192,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.25,-0.01,-0.794%,38994864.00,United States,,188035,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.4097,0.1197,9.279%,18709186.00,,2022,341065,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.54,-0.01,-0.392%,9904555.00,United States,1998,2245,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$6.0972,1.0772,21.458%,40545478.00,,2024,27021,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.318,0.026,8.904%,4763435.00,,2023,523240,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.31,0.10,8.264%,21558098.00,United States,,17899,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.85,-0.4299,-2.641%,0.00,United States,1972,14076,Finance,Finance/Investors Services
BDL,Flanigan's Enterprises Inc. Common Stock,$23.50,0.0575,0.245%,43678205.00,United States,1972,363,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$4.02,0.02,0.50%,171252000.00,,2023,28514,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$0.8855,-0.0144,-1.60%,16971466.00,Canada,,132682,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.53,0.47,1.675%,437000344.00,United States,1997,29690,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$9.55,-0.66,-6.464%,37834311.00,,2022,17012,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$45.46,-2.38,-4.975%,162429807.00,United States,,38831,Technology,Radio And Television Broadcasting And Communications Equipment
BQ,Boqii Holding Limited American Depositary Shares (each representing one hundred fifty (150) Class A Ordinary Shares),$1.80,-0.14,-7.216%,1928754.00,,,6124,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.07,-0.05,-1.603%,269514818.00,United States,,104613,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$1.90,0.00,0.00%,58187500.00,,2024,22944,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.43,0.02,1.418%,14376554.00,United States,1965,3054,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.35,0.04,1.208%,4391172999.00,Canada,,66273466,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$1.87,-0.045,-2.35%,4529149.00,,2021,222305,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1694,-0.0075,-4.24%,8272423.00,United States,,2346112,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.23,-0.03,-2.381%,12734298.00,Israel,,261595,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$1.85,-0.24,-11.483%,136995906.00,United States,,731319,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$6.03,0.522,9.477%,48735419.00,United States,2022,8508,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$42.70,-0.31,-0.721%,10334476040.00,United States,1951,22810,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.577,-0.013,-0.136%,67360548.00,United States,1999,19431,Finance,Finance/Investors Services
CHEB,Chenghe Acquisition II Co. Class A Ordinary Shares,$10.33,-0.05,-0.482%,0.00,,2024,42811,,
CHRO,Channel Therapeutics Corporation Common Stock,$1.255,-0.045,-3.462%,7660285.00,,2024,1146,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.69,-0.015,-0.555%,0.00,United States,,990314,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$24.75,-0.06,-0.242%,304884286.00,United States,1998,12749,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.04,0.14,1.284%,22378433.00,United States,2003,1808,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.465,-0.0203,-4.183%,13237425.00,,2021,182550,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$6.87,-0.27,-3.782%,0.00,United States,2003,4598043,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.95,0.40,2.952%,267673618.00,Canada,,180573,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$15.07,0.12,0.803%,134058726.00,United States,1996,23875,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$11.37,0.57,5.278%,775978316.00,,2024,142414,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$13.71,-1.79,-11.548%,78444096.00,China,2016,22319,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$6.66,0.28,4.389%,13684129.00,United States,,4535,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.56,0.09,6.122%,5088581.00,China,,283484,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$6.60,-0.26,-3.79%,0.00,United States,2003,2171746,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$14.78,0.81,5.798%,181032638.00,United States,2021,238598,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.9429,-0.0388,-3.952%,75801498.00,,2022,718578,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$0.2575,0.0161,6.669%,19881972.00,United States,1997,1107048,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$8.90,-0.3166,-3.435%,8598575.00,United States,1930,2212,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$3.40,0.05,1.493%,44306158.00,United States,2022,18384,Industrials,Military/Government/Technical
