Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$0.9555,0.0155,1.649%,12280198,China,2008,39362,Real Estate,Other Consumer Services
AAPG,Ascentage Pharma Group International American Depository Shares,$18.87,-0.58,-2.982%,7325000,China,2025,624,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,Abivax SA American Depositary Shares,$6.29,0.23,3.795%,31700399,France,2023,123307,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,$1.58,-0.02,-1.25%,63567564,China,2021,21428,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.24,-0.0095,-3.808%,236043386,United Kingdom,2015,2935665,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd American Depositary Shares,$7.43,0.00,0.00%,193250,Switzerland,,1353,Health Care,Biotechnology: Pharmaceutical Preparations
AHG,Akso Health Group ADS,$1.00,0.0272,2.796%,14685349,China,2017,759,Consumer Discretionary,Business Services
AIFU,AIX Inc. American Depositary Shares,$0.1344,-0.0087,-6.08%,41071235,China,2007,330739,Finance,Specialty Insurers
AIXI,XIAO-I Corporation American Depositary Shares,$2.59,-0.24,-8.481%,6056815,China,2023,45945,Technology,Computer Software: Prepackaged Software
AKTX,Akari Therapeutics plc ADS,$1.10,-0.0988,-8.242%,5053632,United Kingdom,,10098,Health Care,Biotechnology: Pharmaceutical Preparations
ALAR,Alarum Technologies Ltd. American Depositary Share,$7.52,0.52,7.429%,5833156,Israel,2018,111353,Technology,Computer Software: Prepackaged Software
AMBR,Amber International Holding Limited American Depositary Shares,$10.50,0.25,2.439%,90535730,Hong Kong,2017,25040,Finance,Finance: Consumer Services
AMRN,Amarin Corporation plc,$9.36,-0.45,-4.587%,20022422,Ireland,,205679,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Adlai Nortye Ltd. American Depositary Shares,$1.91,-0.18,-8.612%,13115480,Cayman Islands,2023,1633,Health Care,Biotechnology: Pharmaceutical Preparations
ANTE,AirNet Technology Inc. American Depositary Shares,$0.7565,0.0265,3.63%,6831676,China,2007,164125,Consumer Discretionary,Advertising
API,Agora Inc. American Depositary Shares,$2.82,-0.17,-5.686%,70356708,China,2020,1137453,Technology,Computer Software: Prepackaged Software
ARBK,Argo Blockchain plc American Depositary Shares,$0.3444,-0.0003,-0.087%,25072731,United Kingdom,2021,86875,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,$587.59,-17.785,-2.938%,32010732,Netherlands,2017,227097,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,$101.00,-2.80,-2.697%,130916505,United Kingdom,2023,4881728,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,$634.93,-48.23,-7.06%,90315092,Netherlands,1995,4028280,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,$158.15,4.23,2.748%,57408378,Denmark,2015,410058,Health Care,Biotechnology: Pharmaceutical Preparations
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,$23.93,0.53,2.265%,94358440,China,2022,2719013,Consumer Discretionary,Hotels/Resorts
ATHE,Alterity Therapeutics Limited American Depositary Shares,$3.40,0.10,3.03%,3459982,Australia,,9602,Health Care,Biotechnology: Pharmaceutical Preparations
AUTL,Autolus Therapeutics plc American Depositary Share,$1.35,-0.05,-3.571%,140741743,United Kingdom,2018,1109531,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
